#BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         240     2.05737     2.05689   0.0106209
         241     2.05037     2.05686   0.0105768
         242     2.03094     2.05675   0.0105337
         243     2.01417     2.05658   0.0104918
         244     2.00232     2.05636   0.0104511
         245     2.03889     2.05628   0.0104087
         246     2.06546     2.05632   0.0103665
         247     2.08485     2.05644   0.0103251
         248     2.08913     2.05657   0.0102843
         249     2.03978      2.0565   0.0102433
         250      1.9977     2.05627    0.010205
         251     1.99052     2.05601   0.0101677
         252     2.00005     2.05578   0.0101298
         253     1.94265     2.05534   0.0100996
         254     1.94248     2.05489   0.0100696
         255     1.97601     2.05458   0.0100349
         256     1.97861     2.05429   0.0100001
         257     1.98555     2.05402  0.00996472
         258     2.00985     2.05385  0.00992756
         259     2.02912     2.05375  0.00988969
         260     2.03258     2.05367  0.00985199
         261     2.04905     2.05365  0.00981426
         262     2.05326     2.05365   0.0097768
         263     2.06471     2.05369  0.00973972
         264     2.06568     2.05374  0.00970293
         265     2.07291     2.05381  0.00966658
         266     2.03781     2.05375  0.00963043
         267     2.00324     2.05356  0.00959622
         268     1.98999     2.05332  0.00956334
         269     2.00242     2.05313  0.00952966
         270     1.99588     2.05292  0.00949673
         271     2.00397     2.05274   0.0094634
         272     2.07519     2.05282  0.00942897
         273     2.06781     2.05288  0.00939459
         274     2.05254     2.05288  0.00936031
         275     2.01258     2.05273  0.00932742
         276     1.94358     2.05234    0.009302
         277     1.93556     2.05191  0.00927797
         278     1.95193     2.05155  0.00925156
         279     1.97409     2.05128  0.00922257
         280     1.98662     2.05105  0.00919252
         281     1.99803     2.05086  0.00916174
         282     1.96413     2.05055  0.00913442
         283     1.93522     2.05014  0.00911123
         284     1.92603     2.04971  0.00908962
         285     1.92654     2.04927  0.00906799
         286     1.94592     2.04891  0.00904348
         287     1.96904     2.04863  0.00901626
         288     1.96823     2.04835  0.00898927
         289     1.96748     2.04807  0.00896252
         290     1.98733     2.04787  0.00893406
         291     1.97579     2.04762  0.00890679
         292     1.94174     2.04725  0.00888367
         293      1.9475     2.04691  0.00885987
         294     1.96583     2.04664  0.00883403
         295     1.96137     2.04635  0.00880881
         296      1.9717      2.0461  0.00878266
         297     1.98729      2.0459  0.00875532
         298     1.98797     2.04571   0.0087281
         299     1.97182     2.04546   0.0087024
         300     1.95006     2.04514   0.0086792
         301     1.92845     2.04475  0.00865902
         302     1.88389     2.04422  0.00864672
         303      1.8916     2.04372  0.00863284
         304     1.91133     2.04328  0.00861542
         305     1.95098     2.04298  0.00859248
         306     1.96098     2.04271  0.00856858
         307     1.98803     2.04253  0.00854252
         308     1.99973     2.04239  0.00851592
         309     2.00237     2.04226  0.00848934
         310     1.99141      2.0421  0.00846354
         311     1.98223     2.04191  0.00843852
         312     2.01761     2.04183  0.00841183
         313     2.01365     2.04174  0.00838544
         314     1.99221     2.04158  0.00836022
         315     1.97816     2.04138   0.0083361
         316     1.94993     2.04109  0.00831474
         317     1.95414     2.04082  0.00829303
         318     1.97626     2.04061  0.00826944
         319     2.01394     2.04053  0.00824394
