#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         295     1.59641     1.59642 4.27669e-05
         296     1.59688     1.59642 4.26513e-05
         297     1.59698     1.59642 4.25492e-05
         298     1.59627     1.59642 4.24095e-05
         299      1.5969     1.59642 4.22978e-05
         300     1.59687     1.59642 4.21837e-05
         301      1.5972     1.59642 4.21233e-05
         302     1.59672     1.59643 4.19949e-05
         303     1.59674     1.59643 4.18688e-05
         304     1.59641     1.59643 4.17311e-05
         305     1.59624     1.59643 4.15987e-05
         306     1.59679     1.59643 4.14796e-05
         307     1.59641     1.59643 4.13445e-05
         308     1.59638     1.59643 4.12106e-05
         309     1.59666     1.59643 4.10843e-05
         310     1.59705     1.59643 4.10004e-05
         311     1.59706     1.59643 4.09183e-05
         312     1.59633     1.59643 4.07885e-05
         313     1.59634     1.59643 4.06592e-05
         314     1.59722     1.59643 4.06065e-05
         315     1.59709     1.59644 4.05304e-05
         316     1.59623     1.59644 4.04074e-05
         317     1.59654     1.59644 4.02814e-05
         318     1.59665     1.59644 4.01604e-05
         319     1.59623     1.59644 4.00398e-05
         320      1.5965     1.59644 3.99152e-05
         321     1.59709     1.59644 3.98428e-05
         322      1.5964     1.59644 3.97192e-05
         323     1.59687     1.59644 3.96189e-05
         324     1.59664     1.59644 3.95015e-05
         325     1.59676     1.59644  3.9392e-05
         326     1.59681     1.59644 3.92876e-05
         327      1.5969     1.59644 3.91924e-05
         328     1.59665     1.59644 3.90783e-05
         329     1.59663     1.59644 3.89638e-05
         330     1.59637     1.59644 3.88464e-05
         331     1.59634     1.59644 3.87304e-05
         332     1.59677     1.59644  3.8626e-05
         333     1.59601     1.59644 3.85323e-05
         334     1.59593     1.59644  3.8448e-05
         335     1.59671     1.59644 3.83416e-05
         336     1.59695     1.59644 3.82575e-05
         337     1.59656     1.59644 3.81454e-05
         338     1.59667     1.59645 3.80384e-05
         339     1.59687     1.59645 3.79472e-05
         340     1.59642     1.59645 3.78357e-05
         341     1.59575     1.59644 3.77795e-05
         342      1.5973     1.59645 3.77527e-05
         343     1.59611     1.59645 3.76555e-05
         344     1.59647     1.59645 3.75461e-05
         345     1.59678     1.59645   3.745e-05
         346     1.59616     1.59645 3.73512e-05
         347     1.59707     1.59645 3.72864e-05
         348     1.59646     1.59645 3.71792e-05
         349      1.5962     1.59645 3.70796e-05
