# VELOCITY:    AVE_POFV:        ERROR:
           4    0.266667        0.54    0.226605
           4    0.533333      1.6325    0.596525
           4         0.8      1.6575     0.59708
           4     1.06667      4.2125     1.73149
           4     1.33333      5.8225     1.79393
           4         1.6       10.11     2.24239
           4     1.86667      12.215     1.29658
           4     2.13333       15.94     3.45364
           4         2.4     21.8925      7.6455
           4     2.66667     14.6825     2.16648
           4     2.93333      7.4675     1.93814
           4         3.2      6.0775      1.7066
           4     3.46667        2.75    0.833082
           4     3.73333        1.73      0.5807
           4           4      0.7025    0.350417
           4     4.26667      0.2025    0.127788
           4     4.53333      0.2075    0.132353
           4         4.8      0.1125   0.0715345
           4     5.06667           0           0
           4     5.33333           0           0
           4         5.6           0           0
           4     5.86667           0           0
           4     6.13333           0           0
           4         6.4           0           0
           4     6.66667           0           0
           4     6.93333           0           0
           4         7.2           0           0
           4     7.46667           0           0
           4     7.73333           0           0
           5           0       0.048   0.0290379
           5    0.266667       0.902    0.371078
           5    0.533333       1.614    0.477507
           5         0.8       2.648      1.0065
           5     1.06667       5.646     1.88751
           5     1.33333       6.738     1.65232
           5         1.6      10.626     1.85233
           5     1.86667       12.49     1.06603
           5     2.13333      14.716     2.97191
           5         2.4      19.762     6.40637
           5     2.66667      12.706     2.47572
           5     2.93333       7.782     1.57583
           5         3.2       5.936     1.37114
           5     3.46667       2.714    0.667243
           5     3.73333       2.034    0.538283
           5           4       0.794    0.292036
           5     4.26667       0.322    0.147903
           5     4.53333       0.426    0.222272
           5         4.8       0.096   0.0590999
           5     5.06667           0           0
           5     5.33333           0           0
           5         5.6           0           0
           5     5.86667           0           0
           5     6.13333           0           0
           5         6.4           0           0
           5     6.66667           0           0
           5     6.93333           0           0
           5         7.2           0           0
           5     7.46667           0           0
           5     7.73333           0           0
           6           0   0.0866667   0.0427958
           6    0.266667     1.04333    0.335068
           6    0.533333     1.85333    0.453956
           6         0.8     3.40333     1.08579
           6     1.06667        6.65     1.82047
           6     1.33333     7.65833     1.61301
           6         1.6     11.0517     1.59177
           6     1.86667      12.635    0.898164
           6     2.13333     13.5883     2.68201
           6         2.4      17.965     5.58499
           6     2.66667     12.2617     2.10259
           6     2.93333     7.76167     1.31332
           6         3.2       4.975     1.44054
           6     3.46667       2.925    0.588453
           6     3.73333        2.23    0.482937
           6           4    0.903333    0.263034
           6     4.26667    0.553333    0.244514
           6     4.53333       0.375    0.190988
           6         4.8        0.08   0.0513701
           6     5.06667           0           0
           6     5.33333           0           0
           6         5.6           0           0
           6     5.86667           0           0
           6     6.13333           0           0
           6         6.4           0           0
           6     6.66667           0           0
           6     6.93333           0           0
           6         7.2           0           0
           6     7.46667           0           0
           6     7.73333           0           0
           7           0    0.265714    0.169776
           7    0.266667     1.36286    0.412304
           7    0.533333     2.18429    0.495263
           7         0.8     3.92286     1.04762
           7     1.06667        6.86     1.57247
           7     1.33333     8.50143      1.5877
           7         1.6     11.8686     1.55997
           7     1.86667     12.3157    0.824655
           7     2.13333     12.8229     2.40563
           7         2.4     16.7271      4.9224
           7     2.66667     11.8643     1.83939
           7     2.93333     7.44571     1.16309
           7         3.2     4.52857     1.30209
           7     3.46667     2.84857    0.509327
           7     3.73333     2.25571     0.41463
           7           4     1.14714    0.319034
           7     4.26667    0.662857    0.232824
           7     4.53333    0.347143    0.165723
           7         4.8   0.0685714    0.045285
           7     5.06667           0           0
           7     5.33333           0           0
           7         5.6           0           0
           7     5.86667           0           0
           7     6.13333           0           0
           7         6.4           0           0
           7     6.66667           0           0
           7     6.93333           0           0
           7         7.2           0           0
           7     7.46667           0           0
           7     7.73333           0           0
           8           0     0.34375    0.165519
           8    0.266667      1.6075    0.427225
           8    0.533333     2.53625    0.544234
           8         0.8      4.1625    0.943678
           8     1.06667       6.965     1.37941
           8     1.33333         9.6       1.728
           8         1.6     12.2862     1.41979
           8     1.86667     11.9613    0.794108
           8     2.13333     12.5025     2.12615
           8         2.4     15.9625     4.36609
           8     2.66667     11.4625     1.65277
           8     2.93333     6.98375     1.10564
           8         3.2       4.175     1.18636
           8     3.46667       2.655    0.481041
           8     3.73333     2.30375    0.365573
           8           4     1.38625    0.357705
           8     4.26667      0.7425    0.216916
           8     4.53333     0.30375    0.150582
           8         4.8        0.06   0.0404274
           8     5.06667           0           0
           8     5.33333           0           0
           8         5.6           0           0
           8     5.86667           0           0
           8     6.13333           0           0
           8         6.4           0           0
           8     6.66667           0           0
           8     6.93333           0           0
           8         7.2           0           0
           8     7.46667           0           0
           8     7.73333           0           0
           9           0    0.305556    0.151471
           9    0.266667     1.59556    0.379922
           9    0.533333     2.69444    0.506233
           9         0.8     4.44667    0.880571
           9     1.06667     7.47778     1.31801
           9     1.33333     10.2111      1.6405
           9         1.6     12.6578     1.30974
           9     1.86667     12.0978    0.717514
           9     2.13333     12.1011     1.92742
           9         2.4     15.3911     3.91818
           9     2.66667       11.07     1.51501
           9     2.93333     6.61333       1.043
           9         3.2     3.82556     1.10481
           9     3.46667        2.53    0.443535
           9     3.73333     2.58222    0.417762
           9           4     1.28889    0.330945
           9     4.26667        0.75    0.192943
           9     4.53333    0.307778    0.133904
           9         4.8   0.0533333    0.036481
           9     5.06667           0           0
           9     5.33333           0           0
           9         5.6           0           0
           9     5.86667           0           0
           9     6.13333           0           0
           9         6.4           0           0
           9     6.66667           0           0
           9     6.93333           0           0
           9         7.2           0           0
           9     7.46667           0           0
           9     7.73333           0           0
          10           0       0.282    0.138143
          10    0.266667       1.612    0.342286
          10    0.533333        2.72    0.456254
          10         0.8       4.772    0.850491
          10     1.06667       8.033      1.2979
          10     1.33333      10.616      1.5256
          10         1.6      12.998     1.22216
          10     1.86667      11.888    0.675733
          10     2.13333      11.923     1.74289
          10         2.4      14.999     3.54592
          10     2.66667      10.708      1.4061
          10     2.93333       6.189     1.02138
          10         3.2       3.807    0.994486
