#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         479   -0.365951   -0.379317  0.00180384
         480   -0.350567   -0.379257  0.00180108
         481   -0.355246   -0.379207  0.00179803
         482   -0.344832   -0.379136  0.00179571
         483   -0.328273    -0.37903  0.00179508
         484   -0.351367   -0.378973  0.00179228
         485   -0.353347    -0.37892  0.00178936
         486   -0.363222   -0.378888  0.00178597
         487   -0.328323   -0.378784  0.00178532
         488   -0.306967   -0.378637  0.00178772
         489    -0.32506   -0.378528  0.00178742
         490   -0.354328   -0.378478  0.00178445
         491   -0.379527    -0.37848  0.00178082
         492   -0.395924   -0.378516  0.00177755
         493   -0.361465   -0.378481  0.00177428
         494    -0.34345    -0.37841  0.00177211
         495   -0.367703   -0.378389  0.00176866
         496   -0.386693   -0.378405  0.00176517
         497   -0.379031   -0.378407  0.00176162
         498   -0.350322    -0.37835  0.00175899
         499   -0.339631   -0.378273  0.00175717
         500    -0.34406   -0.378204  0.00175499
