#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         305     1.30273     1.31581   0.0013299
         306     1.31678     1.31582  0.00132556
         307     1.31081      1.3158  0.00132134
         308     1.29775     1.31574  0.00131835
         309     1.30259      1.3157  0.00131477
         310     1.29899     1.31565  0.00131163
         311     1.32128     1.31566  0.00130754
         312     1.34503     1.31576  0.00130673
         313     1.37393     1.31594  0.00131571
         314     1.35543     1.31607  0.00131751
         315     1.33173     1.31612  0.00131427
         316     1.32744     1.31616   0.0013106
         317     1.31903     1.31617  0.00130649
         318     1.32627      1.3162  0.00130277
         319     1.32118     1.31621  0.00129878
         320     1.32324     1.31623  0.00129491
         321     1.32499     1.31626  0.00129116
         322     1.34263     1.31634  0.00128975
         323     1.33822     1.31641  0.00128753
         324     1.33073     1.31646  0.00128432
         325     1.34123     1.31653  0.00128262
         326     1.36083     1.31667  0.00128587
         327     1.37432     1.31684  0.00129396
         328     1.36161     1.31698   0.0012972
         329     1.32563     1.31701  0.00129352
         330     1.29946     1.31695  0.00129069
         331     1.30124     1.31691  0.00128767
         332     1.31119     1.31689   0.0012839
         333     1.32423     1.31691  0.00128024
         334     1.34057     1.31698  0.00127836
         335     1.33158     1.31703  0.00127529
         336     1.33879     1.31709  0.00127314
         337     1.35681     1.31721   0.0012748
         338      1.3713     1.31737  0.00128104
         339     1.36928     1.31752  0.00128638
         340     1.35307     1.31763  0.00128683
         341     1.32135     1.31764  0.00128311
         342      1.3299     1.31767  0.00127986
         343     1.31791     1.31767  0.00127613
         344     1.31429     1.31766  0.00127245
         345      1.3279     1.31769  0.00126911
         346     1.33857     1.31775  0.00126688
         347      1.3412     1.31782  0.00126503
         348     1.29742     1.31776  0.00126275
         349     1.28188     1.31766  0.00126331
         350     1.28955     1.31758  0.00126225
         351     1.27868     1.31747  0.00126351
         352     1.27172     1.31734  0.00126659
         353     1.27962     1.31723   0.0012675
         354     1.29882     1.31718  0.00126498
         355     1.32672     1.31721  0.00126171
         356     1.34428     1.31728  0.00126045
         357     1.33561     1.31733  0.00125797
         358     1.33749     1.31739  0.00125571
         359     1.35031     1.31748  0.00125556
         360     1.36093      1.3176  0.00125786
         361     1.36759     1.31774  0.00126197
         362     1.37801     1.31791  0.00126942
         363     1.37439     1.31806  0.00127542
         364     1.35474     1.31816  0.00127589
         365     1.34559     1.31824  0.00127461
         366     1.35958     1.31835  0.00127612
         367     1.35109     1.31844  0.00127576
         368     1.34269     1.31851  0.00127399
         369     1.34291     1.31857  0.00127225
         370      1.3468     1.31865   0.0012711
         371     1.35364     1.31874  0.00127117
         372     1.35844     1.31885  0.00127222
         373     1.36055     1.31896  0.00127371
         374     1.33364       1.319  0.00127091
         375     1.30401     1.31896  0.00126815
         376     1.28838     1.31888  0.00126738
         377     1.31489     1.31887  0.00126407
         378     1.30516     1.31883  0.00126124
         379     1.28604     1.31875  0.00126088
         380     1.28338     1.31865  0.00126099
         381      1.3005     1.31861  0.00125858
         382     1.29502     1.31854   0.0012568
         383     1.26803     1.31841  0.00126042
         384      1.2656     1.31827  0.00126462
         385     1.29593     1.31822  0.00126267
         386     1.31936     1.31822   0.0012594
         387      1.3298     1.31825   0.0012565
         388     1.34188     1.31831  0.00125474
         389     1.34773     1.31839  0.00125379
         390     1.34969     1.31847  0.00125314
         391      1.3632     1.31858  0.00125515
         392     1.36738     1.31871   0.0012581
         393     1.37703     1.31885  0.00126362
         394     1.37857     1.31901  0.00126947
         395     1.34771     1.31908  0.00126834
         396     1.33528     1.31912   0.0012658
         397     1.33072     1.31915  0.00126294
         398     1.34301     1.31921  0.00126119
         399     1.34759     1.31928  0.00126004
         400     1.35224     1.31936  0.00125958
         401     1.36271     1.31947  0.00126107
         402     1.34068     1.31952  0.00125903
         403     1.34146     1.31958  0.00125709
         404     1.33952     1.31963  0.00125494
         405     1.35035      1.3197  0.00125414
         406     1.36804     1.31982  0.00125668
         407     1.34629     1.31989  0.00125528
         408     1.33791     1.31993  0.00125298
         409     1.34964        1.32  0.00125202
         410     1.34497     1.32006  0.00125045
         411     1.33932     1.32011  0.00124828
         412     1.32796     1.32013   0.0012454
         413     1.31249     1.32011  0.00124252
         414     1.30789     1.32008  0.00123987
         415     1.30372     1.32004  0.00123751
         416     1.29844     1.31999  0.00123562
         417     1.30447     1.31995  0.00123322
         418     1.31771     1.31995  0.00123028
         419     1.35433     1.32003  0.00123008
         420     1.34129     1.32008  0.00122819
         421     1.28042     1.31999  0.00122888
         422     1.25159     1.31982  0.00123661
         423     1.26061     1.31968  0.00124159
         424     1.28734     1.31961    0.001241
         425     1.29134     1.31954  0.00123986
         426     1.29675     1.31949   0.0012381
         427     1.28931     1.31942  0.00123722
         428     1.29613     1.31936  0.00123552
         429     1.26757     1.31924  0.00123853
         430     1.26138     1.31911  0.00124294
         431     1.28778     1.31904  0.00124218
         432     1.30259       1.319  0.00123988
         433     1.29436     1.31894  0.00123833
         434     1.27472     1.31884  0.00123966
         435     1.28031     1.31875  0.00123997
         436     1.29326     1.31869   0.0012385
         437      1.3034     1.31866  0.00123616
         438     1.32235     1.31866  0.00123337
         439     1.33995     1.31871  0.00123151
         440     1.35407     1.31879  0.00123133
         441      1.3817     1.31894  0.00123677
         442     1.34428     1.31899   0.0012353
         443     1.31968       1.319  0.00123252
         444     1.30852     1.31897  0.00122996
