#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         410   -0.395777   -0.436457   0.0065262
         411   -0.407124   -0.436385  0.00651071
         412    -0.39248   -0.436279  0.00649578
         413    -0.39151    -0.43617  0.00648095
         414   -0.387074   -0.436052  0.00646638
         415   -0.428032   -0.436033  0.00645083
         416   -0.466871   -0.436107  0.00643575
         417   -0.458013   -0.436159  0.00642053
         418    -0.42779   -0.436139   0.0064052
         419   -0.397807   -0.436048  0.00639057
         420   -0.386262   -0.435929  0.00637645
         421   -0.395392   -0.435833  0.00636203
         422   -0.403742   -0.435757  0.00634741
         423   -0.420606   -0.435721  0.00633251
         424   -0.399741   -0.435636  0.00631814
         425   -0.373585    -0.43549  0.00630496
         426   -0.367489   -0.435331  0.00629218
         427    -0.34875   -0.435128  0.00628071
         428   -0.361549   -0.434956  0.00626839
         429   -0.347226   -0.434751  0.00625711
         430   -0.347155   -0.434548  0.00624588
         431    -0.33448   -0.434315   0.0062357
         432   -0.338314   -0.434093  0.00622522
         433   -0.333314    -0.43386   0.0062152
         434   -0.337815   -0.433639  0.00620481
         435   -0.343149   -0.433431  0.00619404
         436   -0.362722   -0.433269  0.00618195
         437   -0.375402   -0.433137  0.00616922
         438   -0.381855   -0.433019  0.00615625
         439   -0.368331   -0.432872  0.00614399
         440   -0.356823   -0.432699  0.00613246
         441   -0.383032   -0.432587  0.00611958
         442   -0.391397   -0.432493  0.00610645
         443   -0.417338   -0.432459  0.00609276
         444   -0.435716   -0.432467  0.00607904
         445   -0.430942   -0.432463  0.00606538
         446   -0.421743   -0.432439  0.00605183
         447   -0.362806   -0.432283   0.0060403
         448   -0.331784   -0.432059  0.00603098
         449   -0.361397   -0.431902   0.0060196
         450   -0.378545   -0.431783  0.00600739
         451   -0.370292   -0.431647  0.00599562
         452   -0.360045   -0.431488  0.00598444
         453   -0.347496   -0.431303   0.0059741
         454   -0.346527   -0.431116  0.00596386
         455    -0.34427   -0.430925  0.00595381
         456   -0.376279   -0.430805  0.00594196
         457   -0.396323    -0.43073  0.00592944
         458   -0.390827   -0.430643  0.00591713
         459   -0.378283   -0.430529  0.00590534
         460   -0.369527   -0.430396  0.00589399
         461   -0.363096    -0.43025  0.00588301
         462   -0.377004   -0.430135  0.00587141
         463   -0.358845   -0.429981  0.00586074
         464   -0.351662   -0.429812  0.00585054
         465    -0.36261   -0.429668  0.00583975
         466   -0.365563    -0.42953  0.00582883
         467   -0.403507   -0.429474  0.00581662
         468   -0.438282   -0.429493  0.00580422
         469   -0.421292   -0.429476  0.00579187
         470   -0.441003     -0.4295   0.0057796
         471   -0.404332   -0.429447  0.00576758
         472   -0.363076   -0.429306  0.00575707
         473   -0.385218   -0.429213  0.00574565
         474   -0.382378   -0.429114  0.00573438
         475   -0.386654   -0.429025  0.00572301
         476   -0.355137    -0.42887  0.00571309
