   Gen     Avg_len    Best_len     Best_path
    53     10.1987     10.1987     0 20 13 18 7 23 29 28 6 2 21 25 12 9 11 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 22 1 14 0
    54     10.1987     10.1987     0 20 13 18 7 23 29 28 6 2 21 25 12 9 11 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 22 1 14 0
    55     10.1987     10.1987     0 20 13 18 7 23 29 28 6 2 21 25 12 9 11 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 22 1 14 0
    56     10.1987     10.1987     0 20 13 18 7 23 29 28 6 2 21 25 12 9 11 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 22 1 14 0
    57     10.1987     10.1987     0 20 13 18 7 23 29 28 6 2 21 25 12 9 11 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 22 1 14 0
    58     10.1987     10.1987     0 20 13 18 7 23 29 28 6 2 21 25 12 9 11 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 22 1 14 0
    59     10.1965     9.97465     0 20 13 18 7 23 29 28 22 16 3 10 30 4 26 24 27 17 5 15 33 19 31 32 8 11 9 12 25 21 2 6 1 14 0
    60     10.1142     8.95108     0 20 13 18 7 23 29 28 22 16 3 10 30 4 26 24 27 17 5 15 33 19 31 32 8 6 2 21 25 12 9 11 1 14 0
    61     9.39695     8.28276     0 20 13 18 7 23 29 28 22 16 3 10 30 4 26 24 27 17 5 15 33 19 31 32 8 6 2 21 25 12 11 9 1 14 0
    62     8.57489     8.28276     0 20 13 18 7 23 29 28 22 16 3 10 30 4 26 24 27 17 5 15 33 19 31 32 8 6 2 21 25 12 11 9 1 14 0
    63     8.28276     8.28276     0 20 13 18 7 23 29 28 22 16 3 10 30 4 26 24 27 17 5 15 33 19 31 32 8 6 2 21 25 12 11 9 1 14 0
    64      8.2758      7.5869     0 20 13 18 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 22 28 29 23 7 1 14 0
    65     8.10111      7.5869     0 20 13 18 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 22 28 29 23 7 1 14 0
    66     7.64702     7.36565     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 22 28 29 23 1 14 0
    67     7.47185     7.36565     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 22 28 29 23 1 14 0
    68     7.36565     7.36565     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 22 28 29 23 1 14 0
    69     7.36565     7.36565     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 22 28 29 23 1 14 0
    70     7.36565     7.36565     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 22 28 29 23 1 14 0
    71     7.36565     7.36565     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 22 28 29 23 1 14 0
    72     7.36565     7.36565     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 22 28 29 23 1 14 0
    73     7.36565     7.36565     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 22 28 29 23 1 14 0
    74     7.36565     7.36565     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 22 28 29 23 1 14 0
    75     7.36565     7.36565     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 22 28 29 23 1 14 0
    76     7.36565     7.36565     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 22 28 29 23 1 14 0
    77     7.36565     7.36565     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 22 28 29 23 1 14 0
    78     7.36565     7.36565     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 22 28 29 23 1 14 0
    79     7.36565     7.36565     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 22 28 29 23 1 14 0
    80     7.36565     7.36565     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 22 28 29 23 1 14 0
    81     7.36565     7.36565     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 22 28 29 23 1 14 0
