   Gen     Avg_len    Best_len     Best_path
    55     5.66404       5.659     0 17 30 19 21 20 1 22 31 3 6 29 32 18 28 26 4 27 10 23 5 24 12 16 13 2 15 8 7 9 25 33 14 11 0
    56       5.659       5.659     0 17 30 19 21 20 1 22 31 3 6 29 32 18 28 26 4 27 10 23 5 24 12 16 13 2 15 8 7 9 25 33 14 11 0
    57     5.65888     5.64697     0 17 30 19 21 20 1 22 31 3 6 29 32 18 28 26 4 27 10 23 5 12 24 16 13 2 15 8 7 9 25 33 14 11 0
    58     5.65287     5.64697     0 17 30 19 21 20 1 22 31 3 6 29 32 18 28 26 4 27 10 23 5 12 24 16 13 2 15 8 7 9 25 33 14 11 0
    59     5.64687     5.63637     0 17 30 19 21 29 6 3 31 22 1 20 32 18 28 26 4 27 10 23 5 24 12 16 13 2 15 8 7 9 25 33 14 11 0
    60     5.63976     5.62434     0 17 30 19 21 29 6 3 31 22 1 20 32 18 28 26 4 27 10 23 5 12 24 16 13 2 15 8 7 9 25 33 14 11 0
    61     5.62415     5.60911     0 17 30 19 21 31 3 6 29 22 1 20 32 18 28 26 4 27 10 23 5 12 24 16 13 2 15 8 7 9 25 33 14 11 0
    62     5.61647     5.60823     0 17 30 19 21 31 3 29 6 22 1 20 32 18 28 26 4 27 10 23 5 12 24 16 13 2 15 8 7 9 25 33 14 11 0
    63     5.60862     5.60556     0 17 30 19 21 31 3 6 29 22 20 1 32 18 28 26 4 27 10 23 5 12 24 16 13 2 15 8 7 9 25 33 14 11 0
    64     5.60692     5.60469     0 17 30 19 21 31 3 29 6 22 20 1 32 18 28 26 4 27 10 23 5 12 24 16 13 2 15 8 7 9 25 33 14 11 0
    65       5.605     5.60469     0 17 30 19 21 31 3 29 6 22 20 1 32 18 28 26 4 27 10 23 5 12 24 16 13 2 15 8 7 9 25 33 14 11 0
    66     5.60469     5.60469     0 17 30 19 21 31 3 29 6 22 20 1 32 18 28 26 4 27 10 23 5 12 24 16 13 2 15 8 7 9 25 33 14 11 0
    67     5.60282     5.43502     0 17 30 19 21 31 3 29 6 22 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 10 23 9 25 33 14 11 0
    68     5.53481     5.41816     0 17 30 19 21 31 29 6 3 22 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 10 23 9 25 33 14 11 0
